equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:08:07:45 +0800] "GET /statistics/export/loans HTTP/1.1" 200 5232 "http://10.168.93.93:5020/statistics" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:08:07:45 +0800] "GET /statistics/export/asset_lifecycle HTTP/1.1" 200 5164 "http://10.168.93.93:5020/statistics" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:08:07:46 +0800] "GET /statistics/export/cost_analysis HTTP/1.1" 200 5889 "http://10.168.93.93:5020/statistics" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | [2025-12-22 08:07:47 +0800] [7] [ERROR] Error handling request /statistics/export/equipment
equipment-management-system  | Traceback (most recent call last):
equipment-management-system  |   File "/usr/local/lib/python3.11/site-packages/gunicorn/workers/base_async.py", line 54, in handle
equipment-management-system  |     self.handle_request(listener_name, req, client, addr)
equipment-management-system  |   File "/usr/local/lib/python3.11/site-packages/gunicorn/workers/base_async.py", line 107, in handle_request
equipment-management-system  |     respiter = self.wsgi(environ, resp.start_response)
equipment-management-system  |                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
